WikiData QID	parent	ML_ID	label	description	wiktionary
Q339718		ML_RHETORIC_ACCUMULATIO	accumulatio	The emphasis or summary of previously made points or inferences by excessive praise or accusation.	https://en.wiktionary.org/wiki/accumulatio
Q19893772		ML_RHETORIC_ACUTEZZA	acutezza	Wit or wordplay used in rhetoric.	https://en.wiktionary.org/wiki/acutezza
Q189183		ML_RHETORIC_AD-HOMINEM	ad hominem		
Q443851	ML_RHETORIC_ADJUNCTION	adjunction	When a verb is placed at the beginning or the end of a sentence instead of in the middle. For example (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "At the beginning, as follows: 'Fades physical beauty with disease or age.' At the end, as follows: 'Either with disease or age physical beauty fades.'"	https://en.wiktionary.org/wiki/adjunction
Q35986		ML_RHETORIC_AESTHETICS	aesthetics	The examination of symbolic expression to determine its rhetorical possibilities.	https://en.wiktionary.org/wiki/aesthetics
Q381283	ML_RHETORIC_AETIOLOGIA	aetiologia	Giving a cause or a reason.	https://en.wiktionary.org/wiki/aetiologia
		ML_RHETORIC_AFFECTUS	affectus	A term used by the Italian Humanists of the Renaissance to describe the source of emotions or passions in the human mind.	https://en.wiktionary.org/wiki/affectus
Q3745428		ML_RHETORIC_AFFIRMATION-AND-NEGATION	affirmation and negation		
Q122393309	ML_RHETORIC_ALLOIOSIS	alloiosis, alloisis		
Q50757077		ML_RHETORIC_AMBIGUA	ambigua	An ambiguous statement used in making puns.	https://en.wiktionary.org/wiki/ambigua
Q738162		ML_RHETORIC_ANACOENOSIS	anacoenosis	A speaker asks their audience or opponents for their opinion or answer to the point in question.	https://en.wiktionary.org/wiki/anacoenosis
Q484456		ML_RHETORIC_ANACOLUTHON	anacoluthon	An abrupt change of syntax within a sentence. (What I want is — like anybody cares.)	https://en.wiktionary.org/wiki/anacoluthon
Q14544854		ML_RHETORIC_ANADIPLOSIS	anadiplosis	Repeating the last word of one clause or phrase to begin the next.	https://en.wiktionary.org/wiki/anadiplosis
Q185816		ML_RHETORIC_ANALOGY	analogy		
Q486050		ML_RHETORIC_ANAPHORA	anaphora	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek) [_ᾰ̓νᾰφορᾱ́_](https://en.wiktionary.org/wiki/%E1%BC%80%CE%BD%CE%B1%CF%86%CE%BF%CF%81%CE%AC#Ancient_Greek) (ănăphorā́). A succession of sentences beginning with the same word or group of words.	https://en.wiktionary.org/wiki/anaphora
Q4751584		ML_RHETORIC_ANAPODOTON	anapodoton	Implying an omitted main clause by a subordinate clause. (If you only knew **...**)	https://en.wiktionary.org/wiki/anapodoton
Q193206		ML_RHETORIC_ANECDOTE	anecdote	A brief narrative describing an interesting or amusing event.	https://en.wiktionary.org/wiki/anecdote
		ML_RHETORIC_ANIMORUM-MOTUS	animorum motus	The emotions.	https://en.wiktionary.org/wiki/animorum_motus
Q2463842		ML_RHETORIC_ANTANACLASIS	antanaclasis	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek) [_ἀντανάκλασις_](https://en.wiktionary.org/wiki/%E1%BC%80%CE%BD%CF%84%CE%B1%CE%BD%CE%AC%CE%BA%CE%BB%CE%B1%CF%83%CE%B9%CF%82#Ancient_Greek) (antanáklasis). A figure of speech involving a pun, consisting of the repeated use of the same word, each time with different meanings.	https://en.wiktionary.org/wiki/antanaclasis
Q17049634		ML_RHETORIC_ANTIPTOSIS	antiptosis	The substitution of one case for another.	https://en.wiktionary.org/wiki/antiptosis
Q5112363		ML_RHETORIC_ANTISTROPHE	antistrophe	In rhetoric, repeating the last word in successive phrases. For example (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "'Since the time when from our state concord disappeared, liberty disappeared, good faith disappeared, friendship disappeared, the common weal disappeared.'" See also [epiphora](https://en.wiktionary.org/wiki/epiphora).	https://en.wiktionary.org/wiki/antistrophe
Q122313503		ML_RHETORIC_ANTITHESIS	antithesis	The juxtaposition of contrasting ideas in balanced or parallel words, phrases, or grammatical structures; the second stage of the dialectic process.	https://en.wiktionary.org/wiki/antithesis
